Room Number,Description,Classroom Setup,Capacity
037-315,"Performing and Fine Arts Building, Room 315",Art Area - Workstations,18
037-316,"Performing and Fine Arts Building, Room 316",Art Area - Workstations,18
037-317,"Performing and Fine Arts Building, Room 317",Art Area - Workstations,24
037-318,"Performing and Fine Arts Building, Room 318",Traditional Classroom,30
038-106,"Cowden Learning Community Building, Room 106",Traditional Classroom,21
042-001,Secrist Honors,Seminar or Classroom (Currently Seminar),28
043-103,"Gateway Student Success Center, Room 103",Traditional Classroom,30
044-107,"Tinsley Hall, Room 107",Traditional Classroom,21
047-113,"ROTC Building, Room 113",Traditional Classroom,50
047-135,"ROTC Building, Room 135",Construction,24
047-150,"ROTC Building, Room CLSRM 150",Traditional Classroom,45
049-006,"ANT Remains Lab (being renovated, so offline 1171)",Teaching Lab,16
049-007,"Anthropology Lab, Room 007",Instructional Lab - Dry,14
052-180,"Bilby Research Center, Room 180",Traditional Classroom,24
060-201,"Student Academic Services, Room 201",Classroom Rows,36
060-202,"Student Academic Services, Room 202",Classroom Rows,36
060-211,"Student Academic Services, Room 211",Classroom Rows,72
060-221,"Student Academic Services, Room 221",Classroom Rows,72
060-238,"Student Academic Services, Room 238",Computer Stations,76
060-239,"Student Academic Services, Room 239",Computer Stations,72
064-011,"duBois Center, Room 011",Traditional Classroom,55
064-019,"duBois Center, Room 019",Conference Style - Round,30
064-028,"duBois Center, Room 028",Hospital Room Layout,10
064-029,"duBois Center, Room 029",Traditional Classroom,30
064-030,"duBois Center, Room 030",Traditional Classroom,32
065-102,"The Raul H. Castro Social & Behavioral Sciences Building, Rm 102",Tiered Seating - Fixed,80
065-104,"The Raul H. Castro Social & Behavioral Sciences Building, Rm 104",Tiered Seating - Fixed,98
065-107,"The Raul H. Castro Social & Behavioral Sciences Building, Rm 107",Tiered Seating - Fixed,98
065-110,"The Raul H. Castro Social & Behavioral Sciences Building, Rm 110",Tiered Seating,195
065-111,"The Raul H. Castro Social & Behavioral Sciences Building, Rm 111","Tiered Seating, Fixed",98
065-210,"The Raul H. Castro Social & Behavioral Sciences Building, Rm 210",Traditional Classroom,34
065-213,"The Raul H. Castro Social & Behavioral Sciences Buidling, Rm 213",Seminar Seating,20
065-217,"The Raul H. Castro Social & Behavioral Sciences Building, Rm 217",Traditional Classroom,52
065-225,"The Raul H. Castro Social & Behavioral Sciences Building, Rm 225",Traditional Classroom,50
065-233,"The Raul H. Castro Social & Behavioral Sciences Building, Rm 223",Seminar Seating,20
065-237,"The Raul H. Castro Social & Behavioral Sciences Building, Rm 237",Traditional Classroom,36
065-241,"The Raul H. Castro Social & Behavioral Sciences Building, Rm 241",Traditional Classroom,32
065-304,"The Raul H. Castro Social & Behavioral Sciences Building, Rm 304",Traditional Classroom,36
065-310,"The Raul H. Castro Social & Behavioral Sciences Building, Rm 310",Traditional Classroom,34
065-317,"The Raul H. Castro Social & Behavioral Sciences Building, Rm 317",Traditional Classroom,54
065-325,"The Raul H. Castro Social & Behavioral Sciences Building, Rm 325",Traditional Classroom,54
065-333,"The Raul H. Castro Social & Behavioral Sciences Building, Rm 333",Seminar Seating,20
065-337,"The Raul H. Castro Social & Behavioral Sciences Building, Rm 337",Traditional Classroom,36
066-101,"Health Professions Building, Room 101",Tiered Seating - Fixed,100
066-120,"Health Professions Building, Room 120",Traditional Classroom,48
066-126,"Health Professions Building, Room 126",Instructional Lab - Wet,50
066-128,"Health Professions Building, Room 128",Medical Lab Stations,48
066-132,"Health Professions Building, Room 132",Physical Therapy Tables,48
066-216,"Health Professions Building, Room 216",Medical Lab Stations,32
066-223,"Health Professions Building, Room 223",Medical Lab Stations X-Ray,10
066-229,"Health Professions Building, Room 229",Traditional Classroom,32
066-232,"Health Professions Building, Room 232",Body Tanks Workstation Medical,24
066-233,"Health Professions Building, Room 233",Traditional Classroom,20
066-235,"Health Professions Building, Room 235",Traditional Classroom w DH equip,32
066-316,"Health Professions Building, Room 316",Traditional Classroom,30
066-318,"Health Professions Building, Room 318",Traditional Classroom,30
066-320,"Health Professions Building, Room 320",Classroom Rows,46
066-321,"Health Professions Building, Room 321",Traditional Classroom,46
066-332,"Health Professions Building, Room 332",Medical Lab Stations,15
066-333,"Health Professions Building, Room 333",Medical Area Workstations,15
066-337,"Health Professions Building, Room 337",Medical Area Workstations,20
068-103,"Rolle Activity Center, Room 103",Exercise Style,41
068-204,"Rolle Activity Center, Room 204",Traditional Classroom,35
068-207,"Rolle Activity Center, Room 207",Traditional Classroom,35
068-209,"Rolle Activity Center, Room Gym 209",Gym,45
069-101,"Engineering Building, Room 101","Tiered Seating, Fixed",92
069-106,"Engineering Building, Room 106",Computer Stations,40
069-111,"Engineering Building, Room 111",Instructional Lab - Wet,12
069-116,"Engineering Building, Room 116",Instructional Lab - Wet,24
069-118,"Engineering Building, Room 118",Traditional Classroom,30
069-119,"Engineering Building, Room 119",Instructional Lab - Dry,30
069-120,"Engineering Building, Room 120",Traditional Classroom,76
069-218,"Engineering Building, Room 218",Traditional Classroom,76
069-224,"Engineering Building, Room 224",Traditional Classroom,75
